Country,City
Austria,Graz
Austria,Vienna
Belgium,Antwerp
Belgium,Brussels
Bulgaria,Sofia
Croatia,Zagreb
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
Estonia,Tallinn
Finland,Helsinki
France,Lyon
France,Marseille
France,Nice
France,Paris
France,Toulouse
Germany,Berlin
Germany,Cologne
Germany,Frankfurt
Germany,Hamburg
Germany,Munich
Germany,Stuttgart
Greece,Athens
Greece,Thessaloniki
Hungary,Budapest
Ireland,Cork
Ireland,Dublin
Italy,Florence
Italy,Milan
Italy,Naples
Italy,Rome
Italy,Turin
Latvia,Riga
Lithuania,Vilnius
Luxembourg,Luxembourg City
Malta,Malta
Netherlands,Amsterdam
Netherlands,Rotterdam
Netherlands,The Hague
Norway,Oslo
Poland,Krakow
Poland,Warsaw
Portugal,Lisbon
Portugal,Porto
Romania,Bucharest
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Barcelona
Spain,Madrid
Spain,Malaga
Spain,Seville
Spain,Valencia
Sweden,Gothenburg
Sweden,Stockholm
Switzerland,Geneva
Switzerland,Zurich